곡명,가수,오디오 감정,가사 감정,연도,상세분류,대분류,yt_id
Blueming,IU,Q1,Q1,2019,2,0,
좋은날,IU,Q1,Q1,2010,2,0,
이 지금,IU,Q4,Q1,2017,2,0,
안녕이라고 말하지마,다비치,Q4,Q4,2011,2,0,
거북이,다비치,Q1,Q1,2013,2,0,
내가 제일 잘 나가,2NE1,Q1,Q1,2011,2,0,
박수쳐,2NE1,Q1,Q1,2010,2,0,
Fire,2NE1,Q1,Q1,2009,2,0,
여행,볼빨간 사춘기,Q1,Q1,2018,2,0,
좋다고 말해,볼빨간 사춘기,Q1,Q1,2016,2,0,
썸 탈꺼야,볼빨간 사춘기,Q1,Q1,2017,2,0,
Push push,씨스타,Q1,Q1,2010,2,0,
So Cool,씨스타,Q1,Q1,2011,2,0,
Loving U,씨스타,Q1,Q1,2012,2,0,
Fantastic Baby,빅뱅,Q1,Q1,2012,2,0,
We like 2 party,빅뱅,Q1,Q1,2015,2,0,
Bang Bang Bang,빅뱅,Q1,Q1,2015,2,0,
벚꽃 엔딩,버스커버스커,Q1,Q1,2012,2,0,
꽃송이가,버스커버스커,Q1,Q1,2012,2,0,
정말로 사랑한다면,버스커버스커,Q1,Q1,2012,2,0,
DNA,BTS,Q1,Q1,2017,2,0,
IDOL,BTS,Q1,Q1,2018,2,0,
Anpanman,BTS,Q1,Q1,2018,2,0,
Love Blossom,케이윌,Q1,Q1,2013,2,0,
오늘부터 1일,케이윌,Q1,Q1,2014,2,0,
말해! 뭐해?,케이윌,Q1,Q1,2016,2,0,
Bubble Pop!,현아,Q1,Q1,2011,2,0,
베베,현아,Q1,Q1,2017,2,0,
아름다운 밤이야,비스트,Q1,Q1,2012,2,0,
니가 제일 좋아,비스트,Q1,Q1,2010,2,0,
밤편지,IU,Q3,Q3,2017,3,0,
나만 몰랐던 이야기,IU,Q3,Q3,2011,3,0,
Love Poem,IU,Q3,Q3,2019,3,0,
남자도 우나요,다비치,Q3,Q3,2012,3,0,
괜찮아 사랑이야,다비치,Q3,Q3,2014,3,0,
Lonely,2NE1,Q3,Q3,2011,3,0,
아파,2NE1,Q3,Q3,2010,3,0,
그리워해요,2NE1,Q3,Q3,2013,3,0,
나만 안 되는 연애,볼빨간 사춘기,Q3,Q3,2016,3,0,
나의 사춘기에게,볼빨간 사춘기,Q3,Q3,2018,3,0,
Blue,볼빨간 사춘기,Q3,Q3,2017,3,0,
나 혼자,씨스타,Q2,Q3,2012,3,0,
Give It To Me,씨스타,Q2,Q3,2013,3,0,
Lonely,씨스타,Q2,Q2,2017,3,0,
Loser,빅뱅,Q3,Q3,2015,3,0,
If You,빅뱅,Q3,Q3,2015,3,0,
Last Dance,빅뱅,Q3,Q3,2016,3,0,
그댈 마주하는 건 힘들어,버스커버스커,Q3,Q3,2012,3,0,
외로움증폭장치,버스커버스커,Q3,Q3,2012,3,0,
처음엔 사랑이란 게,버스커버스커,Q3,Q3,2013,3,0,
Fake Love,BTS,Q2,Q3,2018,3,0,
Danger,BTS,Q2,Q2,2014,3,0,
전하지 못한 진심,BTS,Q3,Q3,2018,3,0,
그립고 그립고 그립다,케이윌,Q3,Q3,2009,3,0,
내가 싫다,케이윌,Q3,Q3,2011,3,0,
눈물이 뚝뚝,케이윌,Q3,Q3,2009,3,0,
저녁 하늘,에일리,Q3,Q3,2012,3,0,
비도 오고 그래서,헤이즈,Q3,Q3,2017,3,0,
불티,태연,Q2,Q2,2019,3,0,
비가 오는 날엔,비스트,Q3,Q3,2011,3,0,
이젠 아니야,비스트,Q3,Q3,2013,3,0,