video,yt_id,duration,title,singer,audio,lyric,year,match,pn
아이유(IU) - Blueming(블루밍) [가사/Lyrics],yCFMJrneOUs,3:38,Blueming,IU,Q1,Q1,2019,2,0
아이유(IU) - 좋은 날 [가사/Lyrics],V6WWJNpIJN4,3:56,좋은날,IU,Q1,Q1,2010,2,0
아이유(IU) - 이 지금 [가사/Lyrics],RUuRcR7ZQUg,2:57,이 지금,IU,Q4,Q1,2017,2,0
다비치 - 안녕이라고 말하지마 [가사/Lyrics],uw83-MnCpAo,3:51,안녕이라고 말하지마,다비치,Q4,Q4,2011,2,0
다비치 - 거북이 [가사/Lyrics],ofBinMrHfHQ,3:44,거북이,다비치,Q1,Q1,2013,2,0
2NE1 - I AM THE BEST (내가 제일 잘 나가) - (Color Coded Han|Rom|Eng Lyrics) | by Yankat,rrZxGvUSeAE,3:31,내가 제일 잘 나가,2NE1,Q1,Q1,2011,2,0
2NE1 (투애니원) - Clap Your Hands (박수쳐) Colour Coded Lyrics (Han/Rom/Eng),XmU1dKcCd8k,3:43,박수쳐,2NE1,Q1,Q1,2010,2,0
2NE1(투애니원) - Fire [가사/Lyrics],ahampaoO2Vg,3:45,Fire,2NE1,Q1,Q1,2009,2,0
[Lyrics Video] BOL4(볼빨간사춘기) - Travel(여행),g6U2SS-ZMy8,3:42,여행,볼빨간 사춘기,Q1,Q1,2018,2,0
[M/V] Bolbbalgan4 - Tell Me You Love Me,y5MAgMVwfFs,3:28,좋다고 말해,볼빨간 사춘기,Q1,Q1,2016,2,0
[Lyrics Video] BOL4(볼빨간사춘기) - Some(썸 탈꺼야),Je-AOvGZVso,3:02,썸 탈꺼야,볼빨간 사춘기,Q1,Q1,2017,2,0
SISTAR (씨스타) - Push Push (푸쉬푸쉬) ~Audio~,4JlGa6X_iV0,3:08,Push push,씨스타,Q1,Q1,2010,2,0
SISTAR (씨스타) - So Cool Lyrics [HAN|ROM|ENG],8Z5p1UsKRXo,3:24,So Cool,씨스타,Q1,Q1,2011,2,0
Sistar - Loving U [Audio/DL],pdy02f4HUqs,3:42,Loving U,씨스타,Q1,Q1,2012,2,0
BIGBANG - Fantastic Baby (Audio),5vzv_A45YMc,3:51,Fantastic Baby,빅뱅,Q1,Q1,2012,2,0
BIGBANG(빅뱅) - WE LIKE 2 PARTY [가사/Lyrics],JfG8brANDPk,3:16,We like 2 party,빅뱅,Q1,Q1,2015,2,0
BIGBANG - 뱅뱅뱅 (BANG BANG BANG) (AUDIO),mWPBClH1Pjw,3:45,Bang Bang Bang,빅뱅,Q1,Q1,2015,2,0
버스커 버스커(Busker Busker) - 벚꽃 엔딩 [가사/Lyrics],uEsT7K_X7Pw,4:22,벚꽃 엔딩,버스커버스커,Q1,Q1,2012,2,0
버스커 버스커(Busker Busker) - 꽃송이가 [가사/Lyrics],tHkMjexi2_Q,3:24,꽃송이가,버스커버스커,Q1,Q1,2012,2,0
4.정말로 사랑한다면 - If You Really Love Me,nteCoZ3ZX_Q,4:14,정말로 사랑한다면,버스커버스커,Q1,Q1,2012,2,0
DNA,SxAvr92fRg4,3:44,DNA,BTS,Q1,Q1,2017,2,0
IDOL,9IVhjh15ofo,3:43,IDOL,BTS,Q1,Q1,2018,2,0
Anpanman,EBf6lwkChnQ,3:53,Anpanman,BTS,Q1,Q1,2018,2,0
K.will(케이윌) - Love Blossom (러브블러썸) [가사/Lyrics],WmCy7VJPPk4,3:37,Love Blossom,케이윌,Q1,Q1,2013,2,0
케이윌(K.will) - 오늘부터 1일 (Day 1) [가사/Lyrics],3fUKF8wKP0I,3:27,오늘부터 1일,케이윌,Q1,Q1,2014,2,0
케이윌(K.will) - 말해! 뭐해? [태양의 후예 OST] [가사/Lyrics],aFgy_E_PV44,3:38,말해! 뭐해?,케이윌,Q1,Q1,2016,2,0
HyunA (현아) - Bubble Pop! - Color Coded Lyrics (HAN|ROM|ENG),HB_TYdo9jw4,3:34,Bubble Pop!,현아,Q1,Q1,2011,2,0
HyunA (현아) – Babe (베베) Lyrics (Han|Rom|Eng),RURqTdDwPBg,3:14,베베,현아,Q1,Q1,2017,2,0
비스트(Beast) - 아름다운 밤이야 [가사/Lyrics],sjJFYzjh7m0,3:39,아름다운 밤이야,비스트,Q1,Q1,2012,2,0
I Like You The Best (니가 제일 좋아),hAiWQ854j4k,3:24,니가 제일 좋아,비스트,Q1,Q1,2010,2,0
Through the Night (밤편지),6744glqD6lk,4:14,밤편지,IU,Q3,Q3,2017,3,0
아이유(IU) - 나만 몰랐던 이야기 [가사/Lyrics],BR58ZxI-NKk,3:24,나만 몰랐던 이야기,IU,Q3,Q3,2011,3,0
Love poem (Love poem),iOKRYIMhaDk,4:19,Love Poem,IU,Q3,Q3,2019,3,0
Do Men Cry (남자도 우나요),ADQhv2u6vyo,3:54,남자도 우나요,다비치,Q3,Q3,2012,3,0
"다비치(Davichi) - 괜찮아 사랑이야(It's alright This is Love) / 다비치 괜찮아 사랑이야 듣기, 가사",eJoLpIXTRd0,4:06,괜찮아 사랑이야,다비치,Q3,Q3,2014,3,0
2NE1 - LONELY M/V,5n4V3lGEyG4,3:31,Lonely,2NE1,Q3,Q3,2011,3,0
2NE1 - It Hurts (아파 ) [Han|Rom|Eng Color Coded Lyrics],49ULVOpHkN8,4:17,아파,2NE1,Q3,Q3,2010,3,0
2NE1 - 그리워해요 [가사/Lyrics],MfnGthGj72g,3:40,그리워해요,2NE1,Q3,Q3,2013,3,0
[Lyrics Video] BOL4(볼빨간사춘기) - Hard To Love(나만 안되는 연애),huqO1Efm7kI,3:40,나만 안 되는 연애,볼빨간 사춘기,Q3,Q3,2016,3,0
볼빨간사춘기(BOL4) - 나의 사춘기에게 [가사/Lyrics],3gMAEZCOFtE,3:44,나의 사춘기에게,볼빨간 사춘기,Q3,Q3,2018,3,0
[Lyrics Video] BOL4(볼빨간사춘기) - Blue,t1yHpqup87M,3:07,Blue,볼빨간 사춘기,Q3,Q3,2017,3,0
SISTAR (씨스타) – Alone (나혼자) [Han|Rom|Eng] Color Coded Lyrics,VLlUcHvKcck,3:25,나 혼자,씨스타,Q2,Q3,2012,3,0
Sistar (씨스타) - Give It To Me (Full Audio) [Give It To Me],VufRgvGYI1s,3:25,Give It To Me,씨스타,Q2,Q3,2013,3,0
SISTAR - LONELY Color Coded Lyrics [Han|Rom|Eng],_nCEtTSOSj4,3:27,Lonely,씨스타,Q2,Q2,2017,3,0
BIGBANG(빅뱅) - LOSER [가사/Lyrics],3-gjXQ-P4j0,3:40,Loser,빅뱅,Q3,Q3,2015,3,0
IF YOU,h9hdorPqukU,4:25,If You,빅뱅,Q3,Q3,2015,3,0
BIGBANG(빅뱅) - LAST DANCE [가사/Lyrics],w2Qex0zIKJs,4:40,Last Dance,빅뱅,Q3,Q3,2016,3,0
1.그댈 마주하는건 힘들어 (그마힘) - It's Hard To Face You,LE-Bl8cJ1rY,3:08,그댈 마주하는 건 힘들어,버스커버스커,Q3,Q3,2012,3,0
6.외로움증폭장치 - Loneliness Amplifier,gwhFvXF-6t8,3:06,외로움증폭장치,버스커버스커,Q3,Q3,2012,3,0
"4.처음엔 사랑이란게 - Love, At First",h_lGsTnWohA,4:05,처음엔 사랑이란 게,버스커버스커,Q3,Q3,2013,3,0
FAKE LOVE,0tWU94w_3ig,4:03,Fake Love,BTS,Q2,Q3,2018,3,0
BTS - Danger (방탄소년단 - Danger) [Color Coded Lyrics/Han/Rom/Eng/가사],abm8QCh7pBg,4:05,Danger,BTS,Q2,Q2,2014,3,0
The Truth Untold (Feat. Steve Aoki),ITc-om9SVr4,4:03,전하지 못한 진심,BTS,Q3,Q3,2018,3,0
케이윌(K.will) - 그립고 그립고 그립다 [가사/Lyrics],UczuiyzK5cQ,4:18,그립고 그립고 그립다,케이윌,Q3,Q3,2009,3,0
I hate myself (내가 싫다),-AAkBfgBxmA,3:54,내가 싫다,케이윌,Q3,Q3,2011,3,0
Dropping the Tears (눈물이 뚝뚝),MKkrSBjNIvw,4:19,눈물이 뚝뚝,케이윌,Q3,Q3,2009,3,0
에일리(Ailee) - 저녁 하늘 [가사/Lyrics],8JINsWbZVEA,3:55,저녁 하늘,에일리,Q3,Q3,2012,3,0
[Audio] 헤이즈 (Heize) - 비도 오고 그래서 (Feat. 신용재),N8frr93imY8,3:26,비도 오고 그래서,헤이즈,Q3,Q3,2017,3,0
불티 Spark,8a_kJWcAOvU,3:38,불티,태연,Q2,Q2,2019,3,0
비스트(Beast) - 비가 오는 날엔 [가사/Lyrics],B-AqBu0D0q8,3:46,비가 오는 날엔,비스트,Q3,Q3,2011,3,0
[MP3/DL] BEAST (B2ST) (비스트) - No More (이젠 아니야),na6BLM8sCTc,4:00,이젠 아니야,비스트,Q3,Q3,2013,3,0
